time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1668962730,20221120,11975332853,4923000,54%,7421000,61014,70,normal,121,3057
1668964523,20221120,11975332853,4923000,54%,7421000,61014,70,normal,121,3058
1668965917,20221120,11975332853,4923000,54%,7421000,61015,70,normal,121,3059
1668968456,20221120,11975332853,4923000,54%,7421000,61015,70,normal,121,3060
1668969785,20221120,11975332853,4923000,54%,7421000,61015,70,normal,121,3061
1668971632,20221120,11975332853,4923000,54%,7421000,61015,70,normal,121,3062
1668973045,20221120,11975332853,4923000,54%,7421000,61015,69,normal,121,3062
1668975491,20221120,11975332853,4923000,54%,7421000,61015,69,normal,121,3063
1668976771,20221120,11975332853,4923000,54%,7421000,61015,69,normal,121,3064
1668980255,20221120,11975332853,4923000,54%,7421000,61015,69,normal,122,3065
1668982595,20221120,11975332853,4923000,54%,7421000,61015,69,normal,122,3066
1668986339,20221120,11975332853,4923000,54%,7421000,61015,69,normal,122,3067
1668994904,20221121,11975332853,4923000,54%,7421000,61016,69,normal,122,3070
1669000630,20221121,11975332853,4923000,52%,7421000,140122,69,normal,122,3070
1669003278,20221121,11975332853,4923000,52%,7421000,140121,69,normal,122,3070
1669009148,20221121,11975332853,4923000,52%,7421000,140121,69,normal,122,3071
1669350518,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3147
1669351621,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3148
1669357612,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3149
1669369195,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3150
1669371782,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3151
1669375074,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3152
1669380029,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3153
1669382979,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3154
1669383850,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3155
1669389690,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3157
1669395166,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3158
1669397952,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3159
1669403774,20221125,11975332853,4450000,59%,7421000,50975,69,normal,124,3160
1669405090,20221125,11975332853,4450000,59%,7421000,50976,67,normal,124,3161
1669411111,20221125,11975332853,4450000,59%,7421000,50976,67,normal,124,3163
1669414786,20221125,11975332853,4450000,59%,7421000,50976,67,normal,124,3164
1669416013,20221125,11975332853,4450000,59%,7421000,50976,67,normal,124,3166
1669418453,20221125,11975332853,4450000,59%,7421000,50976,67,normal,124,3167
1669427080,20221126,11975332853,4450000,59%,7421000,50976,67,normal,125,3171
1669431171,20221126,11975332853,4450000,59%,7421000,50976,67,normal,125,3172
1669433244,20221126,11975332853,4923000,52%,7421000,140120,67,normal,125,3173
1669434257,20221126,11975332853,4923000,52%,7421000,140120,67,normal,125,3174
1669436725,20221126,11975332853,4923000,52%,7421000,140119,67,normal,125,3174
1669469126,20221126,11975332853,4923000,52%,7421000,140119,67,normal,125,3175
1669477190,20221126,11975332853,4923000,52%,7421000,140119,67,normal,125,3177
1669480078,20221126,11975332853,4923000,52%,7421000,140119,67,normal,125,3178
1669483065,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3179
1669484297,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3180
1669487068,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3181
1669488179,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3182
1669490147,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3183
1669494050,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3184
1669495167,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3185
1669497473,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3186
1669504825,20221126,11975332853,4923000,52%,7421000,140119,67,normal,126,3187
1669514086,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3188
1669518591,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3189
1669523128,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3189
1669540746,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3190
1669547821,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3192
1669549094,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3193
1669552615,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3194
1669555553,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3193
1669562405,20221127,11975332853,4923000,52%,7421000,140120,67,normal,126,3195
1669563605,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3195
1669566491,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3194
1669569473,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3195
1669570720,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3196
1669573468,20221127,11975332853,4923000,52%,7421000,140119,67,normal,126,3197
1669576572,20221127,11975332853,4923000,52%,7421000,140119,66,normal,126,3197
1669577899,20221127,11975332853,4923000,52%,7421000,140119,66,normal,126,3198
1669580449,20221127,11975332853,4923000,52%,7421000,140118,66,normal,126,3199
1669581570,20221127,11975332853,4923000,52%,7421000,140118,66,normal,126,3201
1669588799,20221127,11975332853,4923000,52%,7421000,140118,66,normal,126,3203
1669591310,20221127,11975332853,4923000,52%,7421000,140118,66,normal,126,3204
1669600055,20221128,11975332853,4923000,52%,7421000,140118,66,normal,126,3206
1669604394,20221128,11975332853,4923000,52%,7421000,140118,66,normal,126,3207
1669628423,20221128,11975332853,4923000,52%,7421000,140118,66,normal,126,3208
1669639220,20221128,11975332853,4923000,52%,7421000,140117,66,normal,126,3210
1669645153,20221128,11975332853,4923000,52%,7421000,140117,66,normal,126,3211
1669649894,20221128,11975332853,4923000,52%,7421000,140117,66,normal,126,3212
1669652697,20221128,11975332853,4923000,52%,7421000,140117,66,normal,126,3214
1669653861,20221128,11975332853,4923000,52%,7421000,140117,66,normal,126,3215
1669657216,20221128,11975332853,4923000,52%,7421000,140116,66,normal,126,3215
1669659995,20221128,11975332853,4923000,52%,7421000,140116,66,normal,126,3216
1669661148,20221128,11975332853,4923000,52%,7421000,140116,66,normal,126,3217
1669662996,20221128,11975332853,4923000,52%,7421000,140116,66,normal,126,3218
1669664329,20221128,11975332853,4923000,52%,7421000,140116,63,normal,126,3218
1669666859,20221128,11975332853,4923000,52%,7421000,140116,63,normal,126,3220
1669668020,20221128,11975332853,4923000,52%,7421000,140116,63,normal,126,3221
1669677737,20221128,11975332853,4923000,52%,7421000,140116,63,normal,126,3223
1669686426,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3228
1669692668,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3229
1669695985,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3230
1669718563,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3231
1669720666,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3232
1669725621,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3233
1669728698,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3234
1669731575,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3235
1669739427,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3237
1669742294,20221129,11975332853,4923000,52%,7421000,140116,63,normal,126,3238
1669746282,20221129,11975332853,4923000,52%,7421000,140115,63,normal,126,3238
1669747451,20221129,11975332853,4923000,52%,7421000,140115,63,normal,127,3238
1669753305,20221129,11975332853,4923000,52%,7421000,140115,63,normal,127,3239
1669756712,20221129,11975332853,4923000,52%,7421000,140114,63,normal,127,3239
1669760365,20221129,11975332853,4923000,52%,7421000,140114,63,normal,127,3240
1669761629,20221129,11975332853,4923000,52%,7421000,140113,63,normal,127,3240
1669764147,20221129,11975332853,4923000,52%,7421000,140112,63,normal,127,3240
1669772904,20221130,11975332853,4923000,52%,7421000,140112,63,normal,127,3241
