time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count,item_name,is_latest
1662047151,20220901,8897653002,10,37%,16,28375,0,normal,8,7,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",True
1661997344,20220901,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661912572,20220831,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661825690,20220830,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661738922,20220829,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661652676,20220828,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661565769,20220827,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661527272,20220826,8897653002,10,37%,16,28375,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661479413,20220826,8897653002,10,37%,16,28501,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661427630,20220825,8897653002,10,37%,16,28502,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661401651,20220825,8897653002,10,37%,16,28586,0,normal,8,6,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661392874,20220825,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661306332,20220824,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661220072,20220823,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661133321,20220822,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1661046591,20220821,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660960374,20220820,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660874155,20220819,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660788092,20220818,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660701880,20220817,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660615052,20220816,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660574512,20220815,8897653002,10,37%,16,28586,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660528632,20220815,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660442078,20220814,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660354831,20220813,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660268823,20220812,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660182190,20220811,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660095616,20220810,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660034705,20220809,8897653002,10,37%,16,28670,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1660010209,20220809,8897653002,10,37%,16,28880,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1659923173,20220808,8897653002,10,37%,16,28880,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1659837193,20220807,8897653002,10,37%,16,28880,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1659804786,20220806,8897653002,10,37%,16,28880,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
